Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
CUESTA COLLEGE4101,CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,Adm,98,,,12,5,68,10,
CUESTA COLLEGE4101,CUESTA COLLEGE,San Luis Obispo,San Luis Obispo,Enr,54,,,6,,35,,
CUYAMACA COLLEGE4252,CUYAMACA COLLEGE,El Cajon,San Diego,App,106,2,,34,7,60,3,
CUYAMACA COLLEGE4252,CUYAMACA COLLEGE,El Cajon,San Diego,Adm,78,,,23,4,47,,
CUYAMACA COLLEGE4252,CUYAMACA COLLEGE,El Cajon,San Diego,Enr,57,,,16,,35,,
CYPRESS COLLEGE4104,CYPRESS COLLEGE,Cypress,Orange,App,281,13,1,63,132,51,,15
CYPRESS COLLEGE4104,CYPRESS COLLEGE,Cypress,Orange,Adm,208,9,,44,101,39,,11
CYPRESS COLLEGE4104,CYPRESS COLLEGE,Cypress,Orange,Enr,167,6,,31,90,31,,6
DE ANZA COLLEGE4286,DE ANZA COLLEGE,Cupertino,Santa Clara,App,"1,418",34,6,126,620,170,,417
DE ANZA COLLEGE4286,DE ANZA COLLEGE,Cupertino,Santa Clara,Adm,"1,059",17,4,85,455,118,39,341
DE ANZA COLLEGE4286,DE ANZA COLLEGE,Cupertino,Santa Clara,Enr,815,10,3,65,346,89,33,269
DIABLO VALLEY COLLEGE4295,DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,App,"1,295",43,8,123,276,331,51,463
DIABLO VALLEY COLLEGE4295,DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,Adm,"1,025",29,6,94,214,245,,395
DIABLO VALLEY COLLEGE4295,DIABLO VALLEY COLLEGE,Pleasant Hill,Contra Costa,Enr,840,21,6,72,169,203,,334
EAST LOS ANGELES COLLEGE4296,EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,App,441,7,1,169,128,6,,113
EAST LOS ANGELES COLLEGE4296,EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,Adm,320,5,,104,100,,13,95
EAST LOS ANGELES COLLEGE4296,EAST LOS ANGELES COLLEGE,Monterey Park,Los Angeles,Enr,235,5,,70,72,,,75
EL CAMINO COLLEGE4302,EL CAMINO COLLEGE,Torrance,Los Angeles,App,625,46,2,165,214,109,,69
EL CAMINO COLLEGE4302,EL CAMINO COLLEGE,Torrance,Los Angeles,Adm,438,24,,121,142,76,,58
EL CAMINO COLLEGE4302,EL CAMINO COLLEGE,Torrance,Los Angeles,Enr,328,16,,94,104,62,,41
EVERGREEN VALLEY COLLEGE4273,EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,App,111,5,,28,67,4,,2
EVERGREEN VALLEY COLLEGE4273,EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,Adm,72,3,,18,41,3,,
EVERGREEN VALLEY COLLEGE4273,EVERGREEN VALLEY COLLEGE,San Jose,Santa Clara,Enr,50,,,10,30,,,
FOLSOM LAKE COLLEGE4462,FOLSOM LAKE COLLEGE,Folsom,Sacramento,App,154,3,2,20,27,93,9,
FOLSOM LAKE COLLEGE4462,FOLSOM LAKE COLLEGE,Folsom,Sacramento,Adm,117,,,16,20,69,,
FOLSOM LAKE COLLEGE4462,FOLSOM LAKE COLLEGE,Folsom,Sacramento,Enr,96,,,13,17,54,,
FOOTHILL COLLEGE4315,FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,App,792,18,3,64,216,181,,281
FOOTHILL COLLEGE4315,FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,Adm,578,12,,39,148,124,,229
FOOTHILL COLLEGE4315,FOOTHILL COLLEGE,Los Altos Hills,Santa Clara,Enr,428,6,,24,115,92,,171
FRESNO CITY COLLEGE4311,FRESNO CITY COLLEGE,Fresno,Fresno,App,112,5,3,33,24,36,,5
FRESNO CITY COLLEGE4311,FRESNO CITY COLLEGE,Fresno,Fresno,Adm,74,,,22,13,27,5,4
FRESNO CITY COLLEGE4311,FRESNO CITY COLLEGE,Fresno,Fresno,Enr,57,,,18,12,17,,4
FULLERTON COLLEGE4314,FULLERTON COLLEGE,Fullerton,Orange,App,423,15,4,119,168,80,,26
FULLERTON COLLEGE4314,FULLERTON COLLEGE,Fullerton,Orange,Adm,298,10,3,83,124,49,,22
FULLERTON COLLEGE4314,FULLERTON COLLEGE,Fullerton,Orange,Enr,213,5,3,61,96,28,,13
GAVILAN COLLEGE4678,GAVILAN COLLEGE,Gilroy,Santa Clara,App,52,2,1,29,4,12,,1
GAVILAN COLLEGE4678,GAVILAN COLLEGE,Gilroy,Santa Clara,Adm,41,,,22,4,10,,
GAVILAN COLLEGE4678,GAVILAN COLLEGE,Gilroy,Santa Clara,Enr,28,,,15,4,4,,
GLENDALE COMMUNITY COLLEGE4327,GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,App,532,8,2,66,69,334,,37
GLENDALE COMMUNITY COLLEGE4327,GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,Adm,374,3,,40,48,244,,27
GLENDALE COMMUNITY COLLEGE4327,GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,Enr,259,3,,26,32,171,,17
GOLDEN WEST COLLEGE4339,GOLDEN WEST COLLEGE,Huntington Beach,Orange,App,257,6,1,44,130,65,7,4
GOLDEN WEST COLLEGE4339,GOLDEN WEST COLLEGE,Huntington Beach,Orange,Adm,169,,,29,89,41,,3
GOLDEN WEST COLLEGE4339,GOLDEN WEST COLLEGE,Huntington Beach,Orange,Enr,137,,,18,77,34,,3
GROSSMONT CMTY COLLEGE4334,GROSSMONT CMTY COLLEGE,El Cajon,San Diego,App,264,9,2,60,42,125,,13
GROSSMONT CMTY COLLEGE4334,GROSSMONT CMTY COLLEGE,El Cajon,San Diego,Adm,171,4,,37,28,84,,7
GROSSMONT CMTY COLLEGE4334,GROSSMONT CMTY COLLEGE,El Cajon,San Diego,Enr,133,3,,24,20,71,,5
HARTNELL COLLEGE4340,HARTNELL COLLEGE,Salinas,Monterey,App,85,1,,61,10,9,2,2
HARTNELL COLLEGE4340,HARTNELL COLLEGE,Salinas,Monterey,Adm,66,,,50,8,5,,
HARTNELL COLLEGE4340,HARTNELL COLLEGE,Salinas,Monterey,Enr,54,,,43,7,,,
IMPERIAL VALLEY COLLEGE4358,IMPERIAL VALLEY COLLEGE,Imperial,Imperial,App,55,,,51,2,1,1,
IMPERIAL VALLEY COLLEGE4358,IMPERIAL VALLEY COLLEGE,Imperial,Imperial,Adm,41,,,38,,,,
IMPERIAL VALLEY COLLEGE4358,IMPERIAL VALLEY COLLEGE,Imperial,Imperial,Enr,34,,,32,,,,
IRVINE VALLEY COLLEGE3356,IRVINE VALLEY COLLEGE,Irvine,Orange,App,727,15,3,72,304,246,,60
IRVINE VALLEY COLLEGE3356,IRVINE VALLEY COLLEGE,Irvine,Orange,Adm,504,10,,41,211,170,,48
IRVINE VALLEY COLLEGE3356,IRVINE VALLEY COLLEGE,Irvine,Orange,Enr,425,8,,29,180,147,,41
LAKE TAHOE COMMUNITY COLLEGE4420,LAKE TAHOE COMMUNITY COLLEGE,South Lake Tahoe,El Dorado,App,36,,,7,6,19,,1
LAKE TAHOE COMMUNITY COLLEGE4420,LAKE TAHOE COMMUNITY COLLEGE,South Lake Tahoe,El Dorado,Adm,26,,,7,3,13,,
LAKE TAHOE COMMUNITY COLLEGE4420,LAKE TAHOE COMMUNITY COLLEGE,South Lake Tahoe,El Dorado,Enr,23,,,6,,12,,
LANEY COLLEGE4406,LANEY COLLEGE,Oakland,Alameda,App,222,27,1,25,105,36,,15
LANEY COLLEGE4406,LANEY COLLEGE,Oakland,Alameda,Adm,165,14,,19,79,30,10,13
LANEY COLLEGE4406,LANEY COLLEGE,Oakland,Alameda,Enr,138,10,,16,67,23,9,13
LAS POSITAS COLLEGE6507,LAS POSITAS COLLEGE,Livermore,Alameda,App,212,7,,36,58,96,,6
LAS POSITAS COLLEGE6507,LAS POSITAS COLLEGE,Livermore,Alameda,Adm,151,7,,26,41,65,,5
LAS POSITAS COLLEGE6507,LAS POSITAS COLLEGE,Livermore,Alameda,Enr,123,6,,24,31,51,,5
LASSEN COLLEGE4383,LASSEN COLLEGE,Susanville,Lassen,App,5,,1,1,1,1,,
LASSEN COLLEGE4383,LASSEN COLLEGE,Susanville,Lassen,Adm,3,,,,,,,
LASSEN COLLEGE4383,LASSEN COLLEGE,Susanville,Lassen,Enr,,,,,,,,
LONG BEACH CITY COLLEGE4388,LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,App,200,20,,90,45,37,,6
