Calculation1,School,City,County,Count,All,African American,American Indian,Hispanic/ Latino,Asian,White,Domestic unknown,Inter- national
GLENDALE COMMUNITY COLLEGE4327,GLENDALE COMMUNITY COLLEGE,Glendale,Los Angeles,Enr,321,3,,35,30,218,,16
GOLDEN WEST COLLEGE4339,GOLDEN WEST COLLEGE,Huntington Beach,Orange,App,195,6,4,45,86,37,,11
GOLDEN WEST COLLEGE4339,GOLDEN WEST COLLEGE,Huntington Beach,Orange,Adm,144,,,31,66,30,5,9
GOLDEN WEST COLLEGE4339,GOLDEN WEST COLLEGE,Huntington Beach,Orange,Enr,113,,,24,53,24,,6
GROSSMONT CMTY COLLEGE4334,GROSSMONT CMTY COLLEGE,El Cajon,San Diego,App,308,26,1,98,48,106,,17
GROSSMONT CMTY COLLEGE4334,GROSSMONT CMTY COLLEGE,El Cajon,San Diego,Adm,218,19,,69,35,72,,12
GROSSMONT CMTY COLLEGE4334,GROSSMONT CMTY COLLEGE,El Cajon,San Diego,Enr,149,14,,43,27,51,,8
HARTNELL COLLEGE4340,HARTNELL COLLEGE,Salinas,Monterey,App,154,3,1,128,10,4,4,4
HARTNELL COLLEGE4340,HARTNELL COLLEGE,Salinas,Monterey,Adm,122,,,102,7,3,,3
HARTNELL COLLEGE4340,HARTNELL COLLEGE,Salinas,Monterey,Enr,79,,,66,6,,,
IMPERIAL VALLEY COLLEGE4358,IMPERIAL VALLEY COLLEGE,Imperial,Imperial,App,111,3,,102,1,4,1,
IMPERIAL VALLEY COLLEGE4358,IMPERIAL VALLEY COLLEGE,Imperial,Imperial,Adm,81,,,74,,3,,
IMPERIAL VALLEY COLLEGE4358,IMPERIAL VALLEY COLLEGE,Imperial,Imperial,Enr,59,,,52,,3,,
IRVINE VALLEY COLLEGE3356,IRVINE VALLEY COLLEGE,Irvine,Orange,App,1195,26,8,140,450,326,35,210
IRVINE VALLEY COLLEGE3356,IRVINE VALLEY COLLEGE,Irvine,Orange,Adm,926,16,6,96,342,262,27,177
IRVINE VALLEY COLLEGE3356,IRVINE VALLEY COLLEGE,Irvine,Orange,Enr,768,14,3,68,291,212,24,156
LAKE TAHOE COMMUNITY COLLEGE4420,LAKE TAHOE COMMUNITY COLLEGE,South Lake Tahoe,El Dorado,App,65,3,1,16,11,21,4,9
LAKE TAHOE COMMUNITY COLLEGE4420,LAKE TAHOE COMMUNITY COLLEGE,South Lake Tahoe,El Dorado,Adm,52,3,,14,7,17,,6
LAKE TAHOE COMMUNITY COLLEGE4420,LAKE TAHOE COMMUNITY COLLEGE,South Lake Tahoe,El Dorado,Enr,39,3,,10,6,12,,4
LANEY COLLEGE4406,LANEY COLLEGE,Oakland,Alameda,App,245,33,2,38,109,30,,24
LANEY COLLEGE4406,LANEY COLLEGE,Oakland,Alameda,Adm,196,27,,31,88,24,,19
LANEY COLLEGE4406,LANEY COLLEGE,Oakland,Alameda,Enr,153,18,,21,71,22,,16
LAS POSITAS COLLEGE6507,LAS POSITAS COLLEGE,Livermore,Alameda,App,397,20,2,78,143,132,,15
LAS POSITAS COLLEGE6507,LAS POSITAS COLLEGE,Livermore,Alameda,Adm,295,15,,58,109,96,,13
LAS POSITAS COLLEGE6507,LAS POSITAS COLLEGE,Livermore,Alameda,Enr,211,10,,39,75,73,,10
LASSEN COLLEGE4383,LASSEN COLLEGE,Susanville,Lassen,App,4,1,,,1,2,,
LASSEN COLLEGE4383,LASSEN COLLEGE,Susanville,Lassen,Adm,4,,,,,,,
LASSEN COLLEGE4383,LASSEN COLLEGE,Susanville,Lassen,Enr,4,,,,,,,
LONG BEACH CITY COLLEGE4388,LONG BEACH CITY COLLEGE,Long Beach,Los Angeles,App,310,41,,149,51,52,10,7
